stnr	lftd	ANA	DEV	PRJ	SKL

80001	22	8,7	0,9	7,0	8,0
80002	19	4,8	5,0	6,2	7,5
80003	22	6,1	3,7	6,9	7,7
80004	20	4,2	4,9	6,3	7,5
80005	18	7,0	2,9	4,1	7,8
80006	18	8,8	1,1	8,1	8,0
80007	17	6,2	3,0	4,3	7,7
80008	22	7,2	2,4	5,3	7,8
80009	20	8,3	0,9	7,5	7,9
80010	16	5,0	5,0	8,4	7,6
80011	24	6,0	3,9	4,4	7,7
80012	18	6,3	3,7	5,0	7,7
80013	21	7,5	2,2	8,0	7,8
80014	19	8,6	0,6	4,1	8,0
80015	17	5,1	4,3	5,7	7,6
80016	19	7,1	1,9	8,5	7,8
80017	19	4,2	5,4	6,3	7,5
80018	19	4,5	4,8	8,7	7,5
80019	20	6,3	3,2	6,7	7,7
80020	21	7,3	1,7	5,6	7,8
80021	18	8,5	1,4	6,0	7,9
80022	21	8,0	1,2	8,0	7,9
80023	20	8,9	0,2	6,0	8,0
80024	19	7,3	2,7	8,4	7,8
80025	19	5,5	3,5	7,3	7,6
80026	22	6,1	3,6	4,6	7,7
80027	20	7,3	2,2	6,9	7,8
80028	23	6,0	3,2	7,1	7,7
80029	23	9,3	0,0	4,6	8,0
80030	23	7,5	1,5	4,9	7,8
80031	20	8,3	0,9	7,4	7,9
80032	20	6,2	3,8	8,4	7,7
80033	19	4,7	4,7	8,7	7,5
80034	20	6,6	3,3	4,1	7,7
80035	21	5,8	3,9	4,4	7,6
80036	20	6,4	3,5	4,2	7,7
80037	22	4,9	4,3	6,2	7,5
80038	21	8,2	1,8	4,2	7,9
80039	19	4,4	4,7	4,5	7,5
80040	20	6,0	3,7	8,3	7,7
80041	21	5,7	4,3	9,5	7,6
80042	23	5,4	3,6	7,5	7,6
80043	20	7,1	1,9	8,3	7,8
80044	23	8,0	1,1	7,0	7,9
80045	19	6,5	2,7	9,6	7,7
80046	23	5,6	3,4	10,0	7,6
80047	19	5,6	3,5	5,8	7,6
80048	22	7,3	2,2	6,2	7,8
80049	20	8,3	1,4	7,6	7,9
80050	20	4,7	5,2	5,7	7,5
80051	24	5,1	4,0	10,0	7,6
80052	21	8,8	0,4	8,4	8,0
80053	17	8,7	1,1	5,9	8,0
80054	19	4,7	4,3	5,3	7,5
80055	23	9,3	0,6	6,4	8,0
80056	17	6,9	2,3	5,0	7,8
80057	19	4,6	4,6	5,7	7,5
80058	20	4,0	5,2	8,8	7,4
80059	20	4,6	5,3	7,2	7,5
80060	20	4,2	5,5	7,7	7,5
80061	23	6,1	3,5	8,8	7,7
80062	20	8,0	1,7	8,5	7,9
80063	22	7,1	1,9	6,0	7,8
80064	20	8,2	1,8	7,9	7,9
80065	19	5,3	4,5	4,3	7,6
80066	20	8,3	1,1	4,8	7,9
80067	20	6,3	3,0	5,1	7,7
80068	23	8,7	0,7	6,4	8,0
80069	18	8,7	0,4	5,5	8,0
80070	18	3,8	5,2	7,2	7,4
80071	19	7,3	2,5	4,8	7,8
80072	21	6,7	2,4	8,0	7,7
80073	23	5,6	3,5	4,4	7,6
80074	22	4,9	4,5	9,4	7,5
80075	24	6,7	2,3	9,0	7,7
80076	22	8,1	1,5	6,2	7,9
80077	20	8,8	0,7	6,7	8,0
80078	23	4,7	4,4	8,5	7,5
80079	20	6,7	2,6	10,0	7,7
80080	20	5,6	3,6	9,2	7,6
80081	20	8,7	1,2	10,0	8,0
80082	21	7,2	2,5	7,5	7,8
80083	18	7,2	2,3	9,2	7,8
80084	17	8,5	1,4	4,4	7,9
80085	17	5,4	4,6	9,7	7,6
80086	21	6,3	3,1	7,6	7,7
80087	18	8,0	1,0	4,6	7,9
80088	18	7,6	1,4	8,7	7,8
80089	21	5,0	5,0	5,2	7,6
80090	17	5,5	3,8	5,3	7,6
80091	20	5,1	4,1	6,3	7,6
80092	19	5,9	3,6	7,4	7,7
80093	19	6,9	2,5	8,0	7,8
80094	20	5,8	4,0	7,9	7,6
80095	23	5,5	4,4	5,5	7,6
80096	22	5,9	3,3	5,7	7,7
80097	20	7,4	2,3	7,4	7,8
80098	21	8,7	1,0	9,5	8,0
80099	18	8,5	1,2	5,7	7,9
80100	20	7,2	2,7	5,5	7,8
80101	22	8,2	1,5	8,4	7,9
80102	20	6,7	2,8	4,6	7,7
80103	23	4,4	4,8	8,9	7,5
80104	20	6,6	2,7	4,7	7,7
80105	18	6,5	2,7	6,0	7,7
80106	18	5,8	3,3	6,1	7,6
80107	16	3,8	6,1	4,4	7,4
80108	18	3,8	6,1	8,4	7,4
80109	22	5,9	3,4	6,2	7,7
80110	20	8,0	1,5	4,3	7,9
80111	23	5,9	3,8	7,5	7,7
80112	19	6,1	3,3	4,3	7,7
80113	20	8,4	1,3	8,9	7,9
80114	23	7,9	1,8	4,4	7,9
80115	23	8,6	1,2	7,7	8,0
80116	21	7,3	2,1	8,2	7,8
80117	20	5,7	3,6	6,3	7,6
80118	18	8,4	1,5	8,8	7,9
80119	23	7,5	1,5	5,4	7,8
80120	21	5,5	4,5	4,2	7,6
80121	19	5,3	4,2	5,2	7,6
80122	16	3,6	5,5	7,2	7,4
80123	19	4,7	5,1	6,9	7,5
80124	17	5,3	4,0	7,8	7,6
80125	22	6,5	3,5	4,5	7,7
80126	18	4,6	5,1	9,6	7,5
80127	21	8,6	0,8	8,0	8,0
80128	22	9,1	0,7	5,6	8,0
80129	20	6,9	2,4	7,5	7,8
80130	20	5,3	4,3	5,8	7,6
80131	20	6,8	3,1	5,3	7,8
80132	21	7,2	2,5	4,0	7,8
80133	21	6,1	3,7	6,1	7,7
80134	20	4,3	5,2	7,8	7,5
80135	23	6,6	3,4	5,4	7,7
80136	22	7,4	2,5	8,7	7,8
80137	19	8,2	1,7	8,1	7,9
80138	20	4,8	4,7	7,9	7,5
80139	24	6,6	2,6	9,9	7,7
80140	20	8,3	1,0	6,8	7,9
80141	23	6,4	3,4	9,2	7,7
80142	20	4,9	5,1	6,8	7,5
